customer_tweet_id,customer_text,customer_author_id,tweet_id,author_id,inbound,created_at,brand_response_text,response_tweet_id,in_response_to_tweet_id,tweet_id_str,intent_label,action_label
2906753,really hate that autocorrect issue wit iphone @115858,804893,2906752,AppleSupport,False,Tue Nov 28 20:05:02 +0000 2017,@804893 We want to help. Would you show us the issue you're running into?,,2906753.0,2906752,,
481784,"Aye. High Sierra is shit. I'm sure most of us know that by now. My CPU has gone full bbq, fan wailing. The root bypass was sweet too. Wakey wakey @115858",229513,481783,AppleSupport,False,Fri Dec 01 14:03:33 +0000 2017,@229513 Hey there! We'd love the opportunity to assist you. We want to make sure your Mac is running as smoothly as possible on the new macOS High Sierra. Meet up with us in DM to get started. https://t.co/GDrqU22YpT,,481784.0,481783,,
2547146,The coolest two tweets I’ve ever had and it’s ruined by the stupid 👁 glitch. Fix your shit @115858.,723902,2547145,AppleSupport,False,Thu Nov 16 14:32:35 +0000 2017,@723902 Thanks for reaching out. We recently released iOS 11.1.1 which may resolve the issue. You’ll want to be sure to back up and update if you haven’t already. DM us if you’re still having issues. https://t.co/GDrqU22YpT,,2547146.0,2547145,,
1502986,dude what the hell,468837,1502985,AppleSupport,False,Fri Nov 03 15:51:34 +0000 2017,@468837 We'd be happy to help. DM us and we'll continue there. https://t.co/GDrqU22YpT,,1502986.0,1502985,,
1936783,my battery never lasts anymore and my phone dies at 12% literally fuck @115858 i ain’t got money to get a new iphone,576200,1936782,AppleSupport,False,Fri Oct 27 23:02:00 +0000 2017,@576200 We know how important reliable power is. Let us know in DM which iPhone you carry and which iOS you have installed. https://t.co/GDrqU22YpT,,1936783.0,1936782,,
1697331,"I see that once posted it no longer looks like an “I”, but does while typing using apple keyboard. First glitch?",514848,1697329,AppleSupport,False,Mon Nov 06 23:43:34 +0000 2017,@514848 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1697330,1697331.0,1697329,,
2728252,Thanks. It's back now. Did try a force restart but no joy.,764990,2728254,AppleSupport,False,Mon Nov 20 18:15:36 +0000 2017,@764990 Just to clarify.  Is your iPad working as expected now?,2728255,2728252.0,2728254,,
1275140,.what is the best way to clean the inside of the iphone smart battery case?,418490,1275138,AppleSupport,False,Thu Oct 26 15:34:33 +0000 2017,@418490 Check out this link for the best info on cleaning your Smart Battery Case: https://t.co/kCFuW6TrHc,1275139,1275140.0,1275138,,
2015383,@115858 fix the problem I️ I️t,595953,2015381,AppleSupport,False,Sun Nov 05 19:20:00 +0000 2017,@595953 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,2015382,2015383.0,2015381,,
787431,"It’s the 7 model. Sometimes my phone will freeze completely for a minute or two. My speaker won’t work on calls, I can never change my music from the lock screen or control center.",307831,787433,AppleSupport,False,Thu Oct 12 19:41:30 +0000 2017,@307831 We'd like to look into this further with you. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,,787431.0,787433,,
2296142,@115858 is this how eye am suppose to talk now!?!?! So annoying! #a? #a?phone,645876,2296141,AppleSupport,False,Sun Nov 12 21:28:00 +0000 2017,"@645876 Thanks for reaching out about this. Let's work on it together. Go ahead and start with making sure that iOS is up to date on your iPhone, here's how: https://t.co/oKZOdSPLR1 Then DM us if the issue persists. https://t.co/GDrqU22YpT",,2296142.0,2296141,,
1966686,"@116333 I used to charge my phone once every 2 days, now with your update,  I have to charge it every day, if not twice a day! #sadness",582832,1966685,AppleSupport,False,Tue Oct 31 12:25:39 +0000 2017,"@582832 Not to worry, Michelle! Send us a DM, and let us know which phone you have. We'd love to help improve that battery run time! https://t.co/GDrqU22YpT",,1966686.0,1966685,,
2016015,@115858 How bout a suggestion on how to fix this “I” glitch???,596165,2016014,AppleSupport,False,Sun Nov 05 20:05:28 +0000 2017,@596165 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,,2016015.0,2016014,,
410102,"Yes. My phone restarted around 9-10 times today while listening to music, using twitter, watching on Crunchyroll.",212820,410104,AppleSupport,False,Mon Oct 09 23:58:30 +0000 2017,"@212820 Thanks for that information. Have you tried any troubleshooting steps on your own? Let us know in DM, and we’ll keep working there. https://t.co/GDrqU22YpT",,410102.0,410104,,
2279966,are u guys gonna fix this iPhone X issue where the display not responding in cold temps? It's 37 degrees in nyc and I can't type on my phone wtf?,662829,2279964,AppleSupport,False,Fri Nov 10 22:31:27 +0000 2017,@662829 Can you join us in DM? We'd like to help out. https://t.co/GDrqU22YpT,2279965,2279966.0,2279964,,
1468423,I chatted with a support person today! Thanks for reaching out,460840,1468422,AppleSupport,False,Fri Nov 03 00:13:29 +0000 2017,"@460840 Excellent! Thanks for letting us know. Please let us know if you need more help, and we'll be here for you.",,1468423.0,1468422,,
2002904,"what is going on with the keyboard! Every time I️ type i, I️t changes to an A and question mark in a box. Happening to friends",592255,2002903,AppleSupport,False,Fri Nov 03 23:08:27 +0000 2017,"@592255 Thanks for reaching out. DM us which device and software version you're seeing this issue on, and we'll start there. https://t.co/GDrqU22YpT",,2002904.0,2002903,,
2169769,Stupid @115858 my text message app won’t open!,636498,2169768,AppleSupport,False,Thu Nov 09 04:12:28 +0000 2017,@636498 We can help! Send us a DM with your iPhone model and iOS version from Settings &gt; General &gt; About &gt; Version to begin. https://t.co/GDrqU22YpT,,2169769.0,2169768,,
1399387,Thank you @115858 update. can you next update come soon so my phone isn’t jacked up. https://t.co/Wl8KaK9VuW,445395,1399386,AppleSupport,False,Sat Oct 28 16:38:00 +0000 2017,@445395 Please check out https://t.co/UTP2qBi1Is for tips. Still having an issue? Let us know. We're happy to help.,,1399387.0,1399386,,
1227219,my replacement IPhone 7plus has randomly started Bleeping like a smoke alarm what kinda fresh hell is this,407890,1227217,AppleSupport,False,Mon Oct 16 00:56:28 +0000 2017,@407890 Let's take a look together. Which exact iOS version is currently installed? Any steps tried since this started?,1227218,1227219.0,1227217,,
2138205,Is @115858 going to fix this bug bc it’s annoying as fuck,569726,2138204,AppleSupport,False,Wed Nov 08 21:58:00 +0000 2017,@569726 We'd like to help. DM us and we'll get started. https://t.co/GDrqU22YpT,,2138205.0,2138204,,
112820,"Dear @AppleSupport,

I just killed myself at the gym today because I wanted the turkey award...and for some reason I’m not getting credit for my run. #confused 

Thoughts?

Signed,
Thirsty for the recognition",141076,112819,AppleSupport,False,Thu Nov 23 20:51:52 +0000 2017,@141076 Here's a guide to help you make sure you get achievements: https://t.co/xwf6lrIgzJ,,112820.0,112819,,
2279593,Wow I am actually impressed you replied. Thanks and I will read the article first.,288361,2279592,AppleSupport,False,Sat Nov 11 19:29:00 +0000 2017,"@288361 Sounds good. We just want to do what we can to help, so keep us in the loop.",,2279593.0,2279592,,
2751481,AND my battery dies so fast.,485026,2751485,AppleSupport,False,Mon Nov 27 00:15:00 +0000 2017,@485026 Thanks for the info! Send us a DM and we'll work with you from there. https://t.co/GDrqU22YpT,,2751481.0,2751485,,
1615974,Not getting mail instantly even tho I have all settings correct. Even called support.. annoying when waiting for impt emails!,192505,1615973,AppleSupport,False,Sun Nov 05 13:52:00 +0000 2017,@192505 Let's see what's going on. Which device is this happening on? Reply in DM to get started. https://t.co/GDrqU22YpT,,1615974.0,1615973,,
2584358,"@115858 See, it did it again!",732345,2584356,AppleSupport,False,Thu Nov 16 23:53:34 +0000 2017,@732345 We have some great news. We've recently released an update which should address the autocorrect issue. You can read more here: https://t.co/xXaXefaskH,2584357,2584358.0,2584356,,
818586,hey can you help me? my phone crashed and now it won't let me use iMessage https://t.co/pXh6tPQY2w,314984,818585,AppleSupport,False,Sun Oct 08 18:57:33 +0000 2017,"@314984 We'd be happy to look into this with you. Send us a DM, and we'll continue from there. https://t.co/GDrqU22YpT",,818586.0,818585,,
2288032,Yo why do we have to keep seeing this - I️,664745,2288030,AppleSupport,False,Sun Nov 12 03:22:29 +0000 2017,"@664745 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",2288031,2288032.0,2288030,,
2018761,@115858 fix this dumb ass glitch y’all got I’m tired of seeing these damn question marks ‼️,597015,2018760,AppleSupport,False,Sat Nov 04 22:22:23 +0000 2017,"@597015 Let's work together to move forward. Check out this article: https://t.co/xXaXeeSRt9

Send us a DM if you need more help. https://t.co/GDrqU22YpT",,2018761.0,2018760,,
2812575,"Yup, several times. The phone seems to be turning on and off, it's the screen that's stuck - it will turn dark blue but then not go to the apple logo screen.",784251,2812577,AppleSupport,False,Mon Nov 27 02:08:30 +0000 2017,@784251 Have you had the chance to try the steps outlined here: https://t.co/o7nB3pXfMv,2812578,2812575.0,2812577,,
1147918,How can I make the keyboard fill the screen in landscape mode for iOS 11? https://t.co/sKOWj7fXvN,390152,1147916,AppleSupport,False,Tue Oct 24 14:27:00 +0000 2017,@390152 Thanks for reaching out. This article explains more about your keyboard: https://t.co/tWyRHFS2AX,1147917,1147918.0,1147916,,
1447232,Hey why does my iPhone keep changing I️ to I️? https://t.co/gxr7H8RVdh,455820,1447230,AppleSupport,False,Thu Nov 02 16:29:25 +0000 2017,@455820 We want to help. DM us and we'll continue there. https://t.co/GDrqU22YpT,1447231,1447232.0,1447230,,
1662248,"I hate #ios11. It has never been #slower @115858. Yeah, it’s always the easier way to make me buy literally the same phone, just 3y younger.",506910,1662247,AppleSupport,False,Tue Oct 17 15:03:02 +0000 2017,"@506910 If you are having specific issues with your iPhone, we'd love to help. Could you tell us a bit about what is going on?",,1662248.0,1662247,,
704470,"I have an iPhone for work that was brand new, sealed in the box with the plastic when I received it. It's now saying someone used find my iPhone and it wants a password to use it? Lots of Import work information I can't access now. #Help ?",288340,704468,AppleSupport,False,Thu Nov 23 19:09:31 +0000 2017,@288340 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT,704469,704470.0,704468,,
2945793,Super disappointed how I backed up my phone and photos on iCloud and somehow didn’t get my photos on my new replacement @115858 @AppleSupport,813692,2945792,AppleSupport,False,Wed Nov 29 15:19:31 +0000 2017,"@813692 We know how priceless photos are, and want to help in any way we can. Are you connected to Wi-Fi, and a charger? Is iCloud Photo Library turned on in Settings &gt; Photos?",,2945793.0,2945792,,
2113943,"Hey 
At least once a day, an image or pdf that I remove from my desktop and put in the trash, stays on the screen no matter what application I'm in. I have to restart to get it to go away.  Any suggestions on that?",450705,2113941,AppleSupport,False,Wed Nov 08 16:51:01 +0000 2017,@450705 We’d like to help with this. Can you start by confirming what Mac you have as well as the macOS version?,2113942,2113943.0,2113941,,
2573933,"So I reset my phone twice and my video function works now lol I still have a great amount of space over 100GB the freezing is honestly random but it just started recently, I have a 7 plus.",729920,2573934,AppleSupport,False,Thu Nov 16 23:59:01 +0000 2017,"@729920 OK we're glad to hear the camera app is working right again. For the freezing, did you notice this issue started after making some sort of setting change on the device or installing anything on it?",2573935,2573933.0,2573934,,
2015368,can you fix the “I” problem everyone is having? PLEASE,595948,2015367,AppleSupport,False,Sun Nov 05 19:26:16 +0000 2017,@595948 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,,2015368.0,2015367,,
626575,"@115858 
Since the time I have updated 11.x, it has screwed my iPhone 6S like anything, battery is getting discharged in 2 hrs",268369,626573,AppleSupport,False,Mon Oct 23 14:14:01 +0000 2017,"@268369 We're here for you. Send us a DM, and we'll take a closer look at the issue there. https://t.co/GDrqU22YpT",626574,626575.0,626573,,
